split,policy,seed,scope,n_all,all_rmse,all_mae,all_n,all_spearman,all_pearson,n_exact,exact_rmse,exact_mae,exact_n,exact_spearman,exact_pearson,n_threshold_500nm,threshold_500nm_accuracy,threshold_500nm_balanced_accuracy,threshold_500nm_precision,threshold_500nm_recall,threshold_500nm_f1,threshold_500nm_auroc,threshold_500nm_auprc
test,legacy_global_canonical,42,flanks_agree,274,1.1283255428095764,0.8887452679536693,274.0,0.7416679377407791,0.7697858387139406,227,1.1425007131802147,0.9203373525283476,227.0,0.6927105537716548,0.7165307880779541,274,0.8722627737226277,0.8666072489601901,0.8641975308641975,0.9150326797385621,0.8888888888888888,0.8989088748447037,0.8949107824137289
test,legacy_global_canonical,42,within_gene_canonical,20,1.1572914436978812,0.8207775250077247,20.0,0.697639197003919,0.7521663835027803,14,1.0457177800273478,0.7749993822404316,14.0,0.6892694969155052,0.6989855006546105,20,0.8,0.8,0.75,0.9,0.8181818181818182,0.87,0.8693578643578643
test,legacy_global_canonical,42,cross_gene_unresolved,36,0.9864189186306005,0.763596322801378,36.0,0.7102365927379416,0.687125458047492,28,0.8445211438096175,0.677416375705174,28.0,0.7536137038697337,0.7088338310769393,36,0.75,0.75625,0.8235294117647058,0.7,0.7567567567567567,0.89375,0.8947823195130201
test,legacy_global_canonical,42,within_gene_unresolved,1,0.19090557098388672,0.19090557098388672,1.0,,,0,,,,,,1,1.0,0.5,0.0,0.0,0.0,,
test,legacy_global_canonical,42,unresolved_union,37,0.9735036629561948,0.7481181943738783,37.0,0.7146463800521069,0.6986010320053874,28,0.8445211438096175,0.677416375705174,28.0,0.7536137038697337,0.7088338310769393,37,0.7567567567567568,0.7617647058823529,0.8235294117647058,0.7,0.7567567567567567,0.9,0.8947823195130201
test,legacy_global_canonical,42,unmapped,627,0.9883049396712603,0.723482327140642,627.0,0.7702189274591997,0.781615780085426,455,1.104839552308621,0.8562773140167798,455.0,0.6457389910803187,0.6745675542814338,627,0.8516746411483254,0.8521008403361344,0.825503355704698,0.8571428571428571,0.841025641025641,0.919102275056364,0.880415921776226
val,legacy_global_canonical,43,overall,1698,1.0117552260605613,0.796258299546788,1698.0,0.7610745763571098,0.7722811389709823,1391,1.0326024912858822,0.8203033015431902,1391.0,0.7416921991090448,0.7371260423240138,1698,0.842756183745583,0.8512749375086743,0.7620772946859904,0.9001426533523538,0.8253760627861347,0.9168976258304157,0.8678947804487066
val,legacy_global_canonical,43,single,737,0.9525661624717545,0.768862709660826,737.0,0.7672874342636082,0.7732536212658709,675,0.951955067593677,0.7600655706668341,675.0,0.7535682824652012,0.7548992378683171,737,0.8317503392130258,0.8386242299794662,0.7072368421052632,0.86,0.776173285198556,0.9125626283367556,0.8527443140884675
val,legacy_global_canonical,43,flanks_agree,272,1.160915606801493,0.9446002963300356,272.0,0.6899142847941331,0.7329581155963616,234,1.1504265560242308,0.942296116732252,234.0,0.6164587694818021,0.6581595858304643,272,0.8566176470588235,0.8382018640600137,0.8547486033519553,0.9216867469879518,0.8869565217391305,0.8752557399408957,0.8890859009240488
val,legacy_global_canonical,43,within_gene_canonical,14,1.1669174951328145,0.8718362535749163,14.0,0.4811529933481153,0.5030092825318077,12,0.897984367344622,0.709235409895579,12.0,0.45390070921985815,0.42208611420238057,14,0.7857142857142857,0.75,0.7272727272727273,1.0,0.8421052631578948,0.8125,0.8711670274170275
val,legacy_global_canonical,43,cross_gene_unresolved,65,0.7846625472674347,0.7176513658120082,65.0,0.8493714795597429,0.910052448159791,36,0.8400209175819869,0.7434013924664922,36.0,0.7896637213804983,0.8213479845752076,65,0.9230769230769231,0.9182900432900433,0.8636363636363636,0.9047619047619048,0.8837209302325582,0.9891774891774892,0.9799092970521541
val,legacy_global_canonical,43,within_gene_unresolved,8,1.3593190386867429,1.2810801519080997,8.0,0.5671153432800667,0.9818183215944479,7,1.451236203855218,1.4357423388532229,7.0,0.3426513512916942,0.3819026046267414,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0
val,legacy_global_canonical,43,unresolved_union,73,0.8664380029197818,0.7793969862061004,73.0,0.8684715557878525,0.9248023358741932,43,0.9662378582740972,0.8561080581573552,43.0,0.835122121455858,0.85087137463896,73,0.9315068493150684,0.930952380952381,0.896551724137931,0.9285714285714286,0.912280701754386,0.9920634920634921,0.9883763989466754
val,legacy_global_canonical,43,unmapped,602,1.0221528740579562,0.7630594808397895,602.0,0.732912611828952,0.7569226066894406,427,1.094979606678891,0.8481893899569187,427.0,0.679430592743333,0.6887255178522462,602,0.840531561461794,0.8521906322172543,0.7508196721311475,0.9196787148594378,0.8267148014440434,0.917022196434463,0.861891000144579
test,legacy_global_canonical,43,overall,1710,0.9849446259207126,0.7834066040378217,1710.0,0.7842928592880234,0.7880163136675702,1391,1.023376801146511,0.8225885974223197,1391.0,0.7510434886224445,0.7413410066235342,1710,0.8315789473684211,0.8416428125904969,0.75,0.9177897574123989,0.8254545454545453,0.9130198703526319,0.865938925430651
test,legacy_global_canonical,43,single,749,0.961574059495935,0.7905082217851611,749.0,0.783222235607685,0.7969430852512573,678,0.9579195054717798,0.7795747327604564,678.0,0.779267064532344,0.7794335259966383,749,0.8317757009345794,0.8434276656614861,0.7155688622754491,0.8851851851851852,0.7913907284768211,0.9227828036805072,0.8723443348903467
test,legacy_global_canonical,43,flanks_agree,229,1.0665876517316688,0.8598701017197042,229.0,0.7524564848985267,0.7604560947859406,192,1.1270813813105038,0.9190984033436204,192.0,0.6143252169576916,0.6362210011781306,229,0.8078602620087336,0.7882205513784462,0.7908496732026143,0.9097744360902256,0.8461538461538461,0.8676378446115288,0.865799213742421
test,legacy_global_canonical,43,within_gene_canonical,20,0.7235014963166799,0.641137957572937,20.0,0.6720249358338292,0.8364911124997801,14,0.7393483822564573,0.6279029164995465,14.0,0.21017069905948194,0.5399669014111895,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test,legacy_global_canonical,43,cross_gene_unresolved,31,0.8614657214014309,0.6935262833872149,31.0,0.8808017407970803,0.8953054360123347,28,0.8807876680006654,0.6979149665151324,28.0,0.8411818472236636,0.8337950108264138,31,0.8709677419354839,0.8315217391304348,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9130434782608695,0.9642179483742951
test,legacy_global_canonical,43,within_gene_unresolved,10,1.0857751321899054,0.8712046504020691,10.0,0.9592244311728205,0.9204912026339551,6,1.3885289590977206,1.2962772647539775,6.0,0.9561828874675149,0.9997228224105106,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0
test,legacy_global_canonical,43,unresolved_union,41,0.9212252609837853,0.7368624704640087,41.0,0.8492015527413045,0.9007400307283747,34,0.9895053677049579,0.8035083132631639,34.0,0.7654629133455011,0.8146926572809449,41,0.9024390243902439,0.882183908045977,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.9540229885057471,0.9785314774372952
test,legacy_global_canonical,43,unmapped,671,0.9922034689576368,0.7564683473223457,671.0,0.761838363588135,0.7740885998278314,473,1.078143395315349,0.8522034953043148,473.0,0.6463345856510748,0.669418434932512,671,0.8301043219076006,0.8415237170496638,0.7427821522309711,0.9464882943143813,0.8323529411764706,0.9061881900240947,0.8543425277916609
val,legacy_global_canonical,44,overall,1676,0.9029500117590102,0.6780255234618016,1676.0,0.8111169024011929,0.8232400147546933,1368,0.9595530657348407,0.7508173317945296,1368.0,0.7958300561329358,0.7911246732914328,1676,0.860381861575179,0.8613584988477998,0.8117489986648865,0.8673323823109843,0.8386206896551723,0.9331065510808735,0.8887212836181024
val,legacy_global_canonical,44,single,759,0.859554464422967,0.6544367603574817,759.0,0.8147921383724589,0.8237261868831437,691,0.877868075349216,0.6744237169623375,691.0,0.8113963779135043,0.8115511284523872,759,0.8590250329380764,0.8566729113698202,0.7887788778877888,0.8475177304964538,0.8170940170940171,0.9327096064350179,0.8802044379110034
val,legacy_global_canonical,44,flanks_agree,215,0.9715804822418627,0.7815939315096584,215.0,0.8196303135772346,0.858610329635336,182,1.0310350985025667,0.8506746055803948,182.0,0.746748026037401,0.8005381650154567,215,0.9069767441860465,0.9063526834611172,0.9375,0.9090909090909091,0.923076923076923,0.9580138736765242,0.960655747043347
val,legacy_global_canonical,44,within_gene_canonical,27,1.0726409573354185,0.8412553734249539,27.0,0.6008568319138128,0.7471153431317734,9,1.0980863740968374,0.9316466649373373,9.0,0.38333333333333336,0.2809612924494566,27,0.7407407407407407,0.6863636363636363,0.375,0.6,0.4615384615384615,0.8727272727272727,0.7658119658119659
val,legacy_global_canonical,44,cross_gene_unresolved,42,0.9580039717759155,0.8064727591616767,42.0,0.5505452268750107,0.7421440970522856,37,1.0058565051186057,0.8521024641152974,37.0,0.34847162873957593,0.5754066305755109,42,0.9047619047619048,0.875,0.9,0.9642857142857143,0.9310344827586207,0.8545918367346939,0.910661442972165
val,legacy_global_canonical,44,within_gene_unresolved,7,0.8123822234002319,0.7048068727765765,7.0,0.6791563658482759,0.8937089730974681,6,0.8765519222019973,0.8058645725250244,6.0,0.47809144373375745,0.4593727343580708,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0
val,legacy_global_canonical,44,unresolved_union,49,0.938585146189068,0.7919490611066624,49.0,0.6132804915196352,0.7714253741619075,43,0.9888295884271169,0.8456506652887478,43.0,0.435766015890172,0.6018695876401927,49,0.9183673469387755,0.8852941176470588,0.9166666666666666,0.9705882352941176,0.9428571428571428,0.8803921568627451,0.93455081174111
val,legacy_global_canonical,44,unmapped,626,0.9188431809868224,0.655097734599639,626.0,0.7788940374277428,0.8075137267782009,443,1.0416663450395467,0.8160739157256369,443.0,0.7474177858843067,0.7487641336109288,626,0.8466453674121406,0.848747653183137,0.7773722627737226,0.8588709677419355,0.8160919540229886,0.9250138675541901,0.8600241719809967
