run_id,label,epoch,train_loss,val_loss,grad_norm_affinity_probe,grad_norm_binding_core,grad_norm_trunk_other,display_label
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,11,7.463614881038666,3.160902500152588,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-direct-balanced-peptide-rank-20260308c,a0201-a2402-direct-balanced-peptide-rank-20260308c,12,4.026535511016846,3.8014748096466064,,,,a0201-a2402-direct-balanced-peptide-rank-20260308c
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,1,1.7163230614228682,1.38636092039255,0.8912441570655705,0.19746181385570327,3.64282814005833,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,2,1.1469224135984073,1.0946093522585356,0.7902267589799284,0.03170274964673531,8.731370272796104,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,3,0.9748629934408448,1.0326965955587535,0.6344432790931569,0.03342562083483755,8.135598420468078,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,4,0.914757446131923,1.0265681376824012,0.6556879606905324,0.0364247392291514,7.620091123105765,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,5,0.9763780866156925,1.2696215235269988,0.880139738683622,0.036770665950620125,8.53402048138668,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,6,0.8666599514809522,1.1568121222349315,0.700377535382104,0.04812613373191749,7.166228327963712,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,7,0.8109971366145394,0.9814439232532794,0.6262905207320306,0.03960541577973419,6.558759012281016,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,8,0.754128476435488,1.1174517594850981,0.5528806611116902,0.03231423669050178,5.544493246538865,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,9,0.6913675760680978,0.9378056755432715,0.45662020363867717,0.0256599670586539,4.7370104253002125,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,10,0.6622635864398696,1.2298521170249352,0.4448939019705764,0.02332466608259596,4.973581653351861,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,11,0.6047325171530247,1.142763050702902,0.3399824521384158,0.03594750641863863,3.7461344802008796,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-20260308h,a0201-a2402-ic50-exact-allrows-ic50only-20260308h,12,0.5703295435417782,1.015638108436878,0.3359739507055203,0.03676610303404061,3.857102693532268,a0201-a2402-ic50-exact-allrows-ic50only-20260308h
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,1,1.567379967732863,1.3122577117039607,0.7411090317880539,0.2535252138608737,4.006495134282049,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,2,1.1020096933299846,1.3272173221294696,0.7449363837669211,0.03128916399634562,10.641247368465153,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,3,0.9395878640088168,1.0804239969987135,0.4696066938580445,0.016718507774862244,6.731481811730054,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,4,0.8954403590072285,1.0131453688328083,0.5392273111306988,0.015646804501733294,8.266561988050094,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,5,0.908162618225271,0.9795880822034982,0.6901781659598952,0.019548143053933247,9.330375947783144,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,6,0.7783883451060816,0.9831636823140658,0.3778226134830451,0.02018067265902016,5.081098256244544,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,7,0.7403429394418543,0.9097031446603628,0.46939100280771845,0.01938512315418099,6.104376481484163,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,8,0.6960362080823291,1.0334357848534217,0.350042432667517,0.02181132925678028,4.9568292315390545,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,9,0.641191782260483,0.9424534142017365,0.3680075662971571,0.022545643716914542,5.164045394126322,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,10,0.607483139092272,0.9359853817866399,0.3519382694238001,0.03678969827042709,4.790408095947839,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,11,0.5744539299471811,0.9301626911530128,0.33839691620263984,0.03213568198512746,4.686403779792746,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i,12,0.5270877886902202,0.9420336118111243,0.24549611094803978,0.015645569795042964,3.687519560555721,a0201-a2402-ic50-exact-allrows-ic50only-warmstart-20260308i
