path,split,task,metric,n,n_positive,tied_groups,tied_rows,old_ap,new_ap,delta,archived_ap,status
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding,mapping_unmapped_threshold_500nm_auprc,569,232,63,150,0.8453803079699856,0.8421059276095281,-0.003274380360457574,0.8453803079699856,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding,mapping_within_gene_canonical_threshold_500nm_auprc,11,6,2,5,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding,mapping_within_gene_unresolved_threshold_500nm_auprc,3,2,1,2,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_kd,threshold_500nm_auprc,113,41,1,2,0.7676934223177324,0.7636283816673259,-0.004065040650406471,0.7676934223177324,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_kd,mapping_flanks_agree_threshold_500nm_auprc,15,12,1,2,0.876326913826914,0.8596602471602472,-0.01666666666666672,0.876326913826914,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_kd,mapping_single_threshold_500nm_auprc,9,2,0,0,0.5833333333333333,0.5833333333333333,0.0,0.5833333333333333,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_kd,mapping_unmapped_threshold_500nm_auprc,88,27,0,0,0.794108575525882,0.794108575525882,0.0,0.794108575525882,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_ic50,threshold_500nm_auprc,734,310,47,132,0.820307608761605,0.8174443577247764,-0.002863251036828607,0.820307608761605,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_ic50,mapping_cross_gene_unresolved_threshold_500nm_auprc,18,5,4,13,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_ic50,mapping_flanks_agree_threshold_500nm_auprc,127,84,25,72,0.8428427962640709,0.8332771117568398,-0.009565684507231054,0.8428427962640709,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_ic50,mapping_single_threshold_500nm_auprc,373,132,7,16,0.8415426144145133,0.8411743254025812,-0.00036828901193208807,0.8415426144145133,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_ic50,mapping_unmapped_threshold_500nm_auprc,209,84,11,31,0.7845281978482144,0.7759304323293377,-0.008597765518876699,0.7845281978482144,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_ic50,mapping_within_gene_canonical_threshold_500nm_auprc,6,4,0,0,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_affinity_probe,threshold_500nm_auprc,1583,639,420,944,0.8402044863482607,0.8390081174306069,-0.001196368917653845,0.8402044863482607,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_affinity_probe,mapping_cross_gene_unresolved_threshold_500nm_auprc,28,9,5,16,0.8762706429373096,0.8877344877344877,0.011463844797178102,0.8762706429373096,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_affinity_probe,mapping_flanks_agree_threshold_500nm_auprc,243,150,61,178,0.8557178197547489,0.8489208983084214,-0.006796921446327486,0.8557178197547489,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_affinity_probe,mapping_single_threshold_500nm_auprc,729,240,288,593,0.8368890449454626,0.8371449367381696,0.00025589179270701923,0.8368890449454626,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_affinity_probe,mapping_unmapped_threshold_500nm_auprc,569,232,63,150,0.8410456263415782,0.8379792989825726,-0.003066327359005583,0.8410456263415782,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_affinity_probe,mapping_within_gene_canonical_threshold_500nm_auprc,11,6,2,5,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,binding_affinity_probe,mapping_within_gene_unresolved_threshold_500nm_auprc,3,2,1,2,1.0,1.0,0.0,1.0,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,foreignness,auprc,3537,1186,644,1493,0.7511009005899926,0.751400046725208,0.0002991461352154223,0.7511009005899926,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,foreignness,mapping_cross_gene_unresolved_auprc,227,1,27,76,0.006329113924050633,0.006329113924050633,0.0,0.006329113924050633,verified_unchanged
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,foreignness,mapping_flanks_agree_auprc,1520,144,171,455,0.35862457388946656,0.36810260046322474,0.00947802657375818,0.35862457388946656,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,foreignness,mapping_single_auprc,1095,674,325,681,0.919879294677839,0.9201510248577953,0.00027173017995629767,0.919879294677839,verified_correction
experiments/2026-09-02_1720_codex_source-junction-masking/results/runs/presto-source-junction-mask-20260902b-legacy-e010-s42/val_predictions.csv,val,foreignness,mapping_unmapped_auprc,446,365,92,212,0.8341620747845153,0.8346245056278687,0.0004624308433534008,0.8341620747845153,verified_correction
