split,seed,scope,metric,legacy,masked,delta_masked_minus_legacy
val,42,flanks_agree,all_spearman,0.6857559421703278,0.6708274213019788,-0.014928520868348949
val,42,flanks_agree,all_pearson,0.6940856975762936,0.6950415092478466,0.0009558116715530085
val,42,flanks_agree,all_rmse,1.1727738832590107,1.1688720895468891,-0.003901793712121515
val,42,flanks_agree,exact_spearman,0.5808288326683695,0.5597428920891542,-0.021085940579215312
val,42,flanks_agree,exact_pearson,0.5995350174268782,0.6055144015404667,0.0059793841135884485
val,42,flanks_agree,exact_rmse,1.221549053348333,1.2121240943710911,-0.009424958977241937
val,42,flanks_agree,threshold_500nm_accuracy,0.7818930041152263,0.7901234567901234,0.008230452674897082
val,42,flanks_agree,threshold_500nm_balanced_accuracy,0.7702150537634409,0.7768817204301075,0.006666666666666599
val,42,flanks_agree,threshold_500nm_precision,0.825503355704698,0.8278145695364238,0.0023112138317258335
val,42,flanks_agree,threshold_500nm_recall,0.82,0.8333333333333334,0.01333333333333342
val,42,flanks_agree,threshold_500nm_f1,0.8227424749163881,0.8305647840531561,0.007822309136768069
val,42,flanks_agree,threshold_500nm_auroc,0.8258781362007168,0.8240860215053764,-0.0017921146953404632
val,42,flanks_agree,threshold_500nm_auprc,0.8649972258376295,0.847102625511345,-0.017894600326284538
val,42,within_gene_canonical,all_spearman,0.917089643403763,0.7235330352481949,-0.19355660815556808
val,42,within_gene_canonical,all_pearson,0.6822467937251467,0.682115940371402,-0.00013085335374474205
val,42,within_gene_canonical,all_rmse,0.8557660818021853,0.9072308122474532,0.05146473044526789
val,42,within_gene_canonical,exact_spearman,0.859041213929178,0.2945284162042896,-0.5645127977248884
val,42,within_gene_canonical,exact_pearson,0.3685005787117413,0.2784637785029993,-0.090036800208742
val,42,within_gene_canonical,exact_rmse,0.9157393638901051,0.9979612976699329,0.08222193377982778
val,42,within_gene_canonical,threshold_500nm_accuracy,0.7272727272727273,0.9090909090909091,0.18181818181818177
val,42,within_gene_canonical,threshold_500nm_balanced_accuracy,0.75,0.9,0.15000000000000002
val,42,within_gene_canonical,threshold_500nm_precision,1.0,0.8571428571428571,-0.1428571428571429
val,42,within_gene_canonical,threshold_500nm_recall,0.5,1.0,0.5
val,42,within_gene_canonical,threshold_500nm_f1,0.6666666666666666,0.923076923076923,0.2564102564102564
val,42,within_gene_canonical,threshold_500nm_auroc,1.0,0.8666666666666667,-0.1333333333333333
val,42,within_gene_canonical,threshold_500nm_auprc,1.0,0.8734126984126984,-0.12658730158730158
val,42,cross_gene_unresolved,all_spearman,0.8427203146950173,0.7740976078380248,-0.06862270685699245
val,42,cross_gene_unresolved,all_pearson,0.8658584292643203,0.8320879668582829,-0.03377046240603743
val,42,cross_gene_unresolved,all_rmse,0.7673072239198316,0.8647662553663632,0.09745903144653156
val,42,cross_gene_unresolved,exact_spearman,0.6804352661085729,0.29982239957818385,-0.380612866530389
val,42,cross_gene_unresolved,exact_pearson,0.6139054056655746,0.46520481056418767,-0.14870059510138695
val,42,cross_gene_unresolved,exact_rmse,0.9695736355243699,1.0897934565519982,0.12021982102762829
val,42,cross_gene_unresolved,threshold_500nm_accuracy,0.9285714285714286,0.8571428571428571,-0.07142857142857151
val,42,cross_gene_unresolved,threshold_500nm_balanced_accuracy,0.9473684210526316,0.8947368421052632,-0.052631578947368474
val,42,cross_gene_unresolved,threshold_500nm_precision,0.8181818181818182,0.6923076923076923,-0.12587412587412594
val,42,cross_gene_unresolved,threshold_500nm_recall,1.0,1.0,0.0
val,42,cross_gene_unresolved,threshold_500nm_f1,0.9,0.8181818181818181,-0.0818181818181819
val,42,cross_gene_unresolved,threshold_500nm_auroc,0.9766081871345029,0.9298245614035088,-0.04678362573099415
val,42,cross_gene_unresolved,threshold_500nm_auprc,0.9535634118967453,0.8363235529902197,-0.11723985890652566
val,42,within_gene_unresolved,all_spearman,1.0,1.0,0.0
val,42,within_gene_unresolved,all_pearson,0.9999999999999999,0.9999999999999999,0.0
val,42,within_gene_unresolved,all_rmse,0.22603629113950802,0.307625228636664,0.08158893749715601
val,42,within_gene_unresolved,exact_rmse,0.2601950764656067,0.3562517762184143,0.09605669975280762
val,42,within_gene_unresolved,threshold_500nm_accuracy,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_balanced_accuracy,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_precision,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_recall,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_f1,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_auroc,1.0,1.0,0.0
val,42,within_gene_unresolved,threshold_500nm_auprc,1.0,1.0,0.0
val,42,unresolved_union,all_spearman,0.8590074709500446,0.7998995759251486,-0.059107895024895996
val,42,unresolved_union,all_pearson,0.8914870198287287,0.8632956719358991,-0.02819134789282962
val,42,unresolved_union,all_rmse,0.7326172203766341,0.8274110181892754,0.0947937978126413
val,42,unresolved_union,exact_spearman,0.6601005244653038,0.3719223104263465,-0.28817821403895727
val,42,unresolved_union,exact_pearson,0.6846998948490048,0.5709286361019386,-0.11377125874706628
val,42,unresolved_union,exact_rmse,0.9151180726195308,1.0309497998068642,0.11583172718733337
val,42,unresolved_union,threshold_500nm_accuracy,0.9354838709677419,0.8709677419354839,-0.06451612903225801
val,42,unresolved_union,threshold_500nm_balanced_accuracy,0.95,0.9,-0.04999999999999993
val,42,unresolved_union,threshold_500nm_precision,0.8461538461538461,0.7333333333333333,-0.11282051282051286
val,42,unresolved_union,threshold_500nm_recall,1.0,1.0,0.0
val,42,unresolved_union,threshold_500nm_f1,0.9166666666666666,0.846153846153846,-0.0705128205128206
val,42,unresolved_union,threshold_500nm_auroc,0.9818181818181818,0.9454545454545454,-0.036363636363636376
val,42,unresolved_union,threshold_500nm_auprc,0.9686586141131596,0.8932224341315251,-0.07543617998163443
val,42,unmapped,all_spearman,0.7515751165578878,0.7593594138035827,0.00778429724569496
val,42,unmapped,all_pearson,0.7739172145727832,0.7833399017136936,0.009422687140910435
val,42,unmapped,all_rmse,0.9568831630007181,0.9450766123307548,-0.011806550669963278
val,42,unmapped,exact_spearman,0.681541914093636,0.6875614045691626,0.006019490475526634
val,42,unmapped,exact_pearson,0.6952379505068095,0.7011723634210325,0.005934412914223031
val,42,unmapped,exact_rmse,1.0630295931120148,1.058221786562577,-0.00480780654943791
val,42,unmapped,threshold_500nm_accuracy,0.8383128295254832,0.843585237258348,0.005272407732864748
val,42,unmapped,threshold_500nm_balanced_accuracy,0.8406707254681265,0.8525081858180702,0.011837460349943707
val,42,unmapped,threshold_500nm_precision,0.7734375,0.76,-0.013437499999999991
val,42,unmapped,threshold_500nm_recall,0.853448275862069,0.9008620689655172,0.04741379310344829
val,42,unmapped,threshold_500nm_f1,0.8114754098360656,0.824457593688363,0.012982183852297435
val,42,unmapped,threshold_500nm_auroc,0.9122198915379106,0.9174895119205976,0.005269620382686968
val,42,unmapped,threshold_500nm_auprc,0.8453803079699856,0.8603617777449448,0.014981469774959177
val,43,overall,all_spearman,0.7805221657780819,0.7856427560162803,0.005120590238198441
val,43,overall,all_pearson,0.7808914683180593,0.7924078341189034,0.01151636580084403
val,43,overall,all_rmse,0.9465144877085526,0.9230718807908324,-0.023442606917720266
val,43,overall,exact_spearman,0.7498460145443748,0.7588788669196477,0.009032852375272848
val,43,overall,exact_pearson,0.7385069099807106,0.7515909294278333,0.013084019447122786
val,43,overall,exact_rmse,1.0098616136275456,0.9805154712324557,-0.029346142395089814
val,43,overall,threshold_500nm_accuracy,0.8369363804817789,0.849289684990735,0.012353304508956109
val,43,overall,threshold_500nm_balanced_accuracy,0.8277706541962087,0.8439479936642027,0.016177339467994045
val,43,overall,threshold_500nm_precision,0.8227848101265823,0.822289156626506,-0.0004956535000762985
val,43,overall,threshold_500nm_recall,0.7738095238095238,0.8125,0.038690476190476164
val,43,overall,threshold_500nm_f1,0.7975460122699387,0.8173652694610779,0.019819257191139195
val,43,overall,threshold_500nm_auroc,0.9178923417307789,0.9225946912555941,0.004702349524815186
val,43,overall,threshold_500nm_auprc,0.8636775899199785,0.8721377893177056,0.00846019939772713
val,43,single,all_spearman,0.7630974266692394,0.7712825197269677,0.008185093057728299
val,43,single,all_pearson,0.7778970953356557,0.7912595344901252,0.013362439154469552
val,43,single,all_rmse,0.8756418358552384,0.8504052451915634,-0.025236590663675007
val,43,single,exact_spearman,0.7453749712632499,0.7541890324616205,0.008814061198370582
val,43,single,exact_pearson,0.7618996553346431,0.7744653061688314,0.012565650834188258
val,43,single,exact_rmse,0.895331150130676,0.8690725302370822,-0.026258619893593793
val,43,single,threshold_500nm_accuracy,0.841886269070735,0.8460471567267683,0.004160887656033285
val,43,single,threshold_500nm_balanced_accuracy,0.8124019963243352,0.8254902291389166,0.01308823281458138
val,43,single,threshold_500nm_precision,0.8153153153153153,0.7966804979253111,-0.018634817390004166
val,43,single,threshold_500nm_recall,0.7125984251968503,0.7559055118110236,0.04330708661417326
val,43,single,threshold_500nm_f1,0.7605042016806722,0.7757575757575758,0.015253374076903525
val,43,single,threshold_500nm_auroc,0.9178075840091723,0.9231356117958489,0.005328027786676626
val,43,single,threshold_500nm_auprc,0.8536739343650566,0.8667832662622565,0.013109331897199983
val,43,flanks_agree,all_spearman,0.7091010078376337,0.6917678801426091,-0.017333127695024597
val,43,flanks_agree,all_pearson,0.7168847467130873,0.7250106815405306,0.008125934827443282
val,43,flanks_agree,all_rmse,1.1582568031249751,1.1279611423327038,-0.030295660792271306
val,43,flanks_agree,exact_spearman,0.6207667091321242,0.5918598670143753,-0.028906842117748854
val,43,flanks_agree,exact_pearson,0.6429632471842724,0.645483156477864,0.0025199092935915823
val,43,flanks_agree,exact_rmse,1.1993869624042133,1.1647078165906666,-0.0346791458135467
