label,split,metric,summary_value,recomputed_value,abs_diff,within_tolerance
c06_twohot_d2_logit_max50k_K128,val,auroc,0.7560889720916748,0.7560883354122099,6.366794649270702e-07,True
c06_twohot_d2_logit_max50k_K128,val,balanced_accuracy,0.693390816450119,0.6933908276251333,1.1175014247299941e-08,True
c06_twohot_d2_logit_max50k_K128,val,f1,0.6673873802885704,0.6673873873873873,7.098816978690081e-09,True
c06_twohot_d2_logit_max50k_K128,val,pearson,0.5150834321975708,0.5150833712429147,6.095465610034267e-08,True
c06_twohot_d2_logit_max50k_K128,val,precision,0.7020469903945923,0.7020470053070508,1.4912458490279334e-08,True
c06_twohot_d2_logit_max50k_K128,val,recall,0.6359890103340149,0.635989010989011,6.549960573920544e-10,True
c06_twohot_d2_logit_max50k_K128,val,rmse_log10,1.261090874671936,1.2610908108582557,6.381368033991919e-08,True
c06_twohot_d2_logit_max50k_K128,val,spearman,0.522182822227478,0.5221422460637137,4.057616376429429e-05,True
c07_twohot_d2_logit_max200k_K64,test,accuracy,0.6979550719261169,0.6979550787797519,6.853634992864954e-09,True
c07_twohot_d2_logit_max200k_K64,test,auprc,0.7503445148468018,0.7504031161950913,5.860134828949981e-05,True
c07_twohot_d2_logit_max200k_K64,test,auroc,0.7617442011833191,0.7617430662003354,1.134982983708177e-06,True
c07_twohot_d2_logit_max200k_K64,test,balanced_accuracy,0.695811927318573,0.6958119238325524,3.4860205833098235e-09,True
c07_twohot_d2_logit_max200k_K64,test,f1,0.661913692110142,0.6619136960600375,3.949895521770941e-09,True
c07_twohot_d2_logit_max200k_K64,test,pearson,0.5208624601364136,0.5208625002563693,4.011995569097593e-08,True
c07_twohot_d2_logit_max200k_K64,test,precision,0.729528546333313,0.7295285359801489,1.0353164103804602e-08,True
c07_twohot_d2_logit_max200k_K64,test,recall,0.6057692170143127,0.6057692307692307,1.3754917982389259e-08,True
c07_twohot_d2_logit_max200k_K64,test,rmse_log10,1.2735334634780884,1.2735334549562487,8.52183967836595e-09,True
c07_twohot_d2_logit_max200k_K64,test,spearman,0.5236984491348267,0.5236983920408025,5.709402417508613e-08,True
c07_twohot_d2_logit_max200k_K64,val,accuracy,0.7121661901473999,0.712166172106825,1.8040574922828512e-08,True
c07_twohot_d2_logit_max200k_K64,val,auprc,0.7522608041763306,0.7519169258283479,0.00034387834798266237,True
c07_twohot_d2_logit_max200k_K64,val,auroc,0.7753481268882751,0.7753474133665953,7.135216798515032e-07,True
c07_twohot_d2_logit_max200k_K64,val,balanced_accuracy,0.7091646790504456,0.7091646661835311,1.2866914422815512e-08,True
c07_twohot_d2_logit_max200k_K64,val,f1,0.6789260868288209,0.6789260757631482,1.1065672711474406e-08,True
c07_twohot_d2_logit_max200k_K64,val,pearson,0.5514639616012573,0.5514638341871986,1.2741405874816536e-07,True
c07_twohot_d2_logit_max200k_K64,val,precision,0.730799674987793,0.730799683293745,8.305952037268582e-09,True
c07_twohot_d2_logit_max200k_K64,val,recall,0.6339285969734192,0.6339285714285714,2.5544847792602354e-08,True
c07_twohot_d2_logit_max200k_K64,val,rmse_log10,1.245077133178711,1.2450771031346717,3.004403925643828e-08,True
c07_twohot_d2_logit_max200k_K64,val,spearman,0.5584326386451721,0.5583930748180552,3.956382711689521e-05,True
c08_twohot_d2_logit_max200k_K128,test,accuracy,0.702983558177948,0.7029835735836406,1.540569261049285e-08,True
c08_twohot_d2_logit_max200k_K128,test,auprc,0.7545945048332214,0.7546243495819647,2.9844748743235172e-05,True
c08_twohot_d2_logit_max200k_K128,test,auroc,0.768173336982727,0.768172888015717,4.489670100138454e-07,True
c08_twohot_d2_logit_max200k_K128,test,balanced_accuracy,0.7012184858322144,0.7012184974488511,1.1616636763633892e-08,True
c08_twohot_d2_logit_max200k_K128,test,f1,0.6733038203563851,0.6733038348082596,1.4451874474907811e-08,True
c08_twohot_d2_logit_max200k_K128,test,pearson,0.5295251607894897,0.529525163657384,2.8678942554094533e-09,True
c08_twohot_d2_logit_max200k_K128,test,precision,0.7269108295440674,0.7269108280254777,1.5185896984348801e-09,True
c08_twohot_d2_logit_max200k_K128,test,recall,0.6270604133605957,0.6270604395604396,2.619984384999441e-08,True
c08_twohot_d2_logit_max200k_K128,test,rmse_log10,1.258721113204956,1.258721120602602,7.39764605128812e-09,True
c08_twohot_d2_logit_max200k_K128,test,spearman,0.5330889821052551,0.5330919179248184,2.9358195632323003e-06,True
c08_twohot_d2_logit_max200k_K128,val,accuracy,0.709858238697052,0.709858226178701,1.2518351022450247e-08,True
c08_twohot_d2_logit_max200k_K128,val,auprc,0.7399572134017944,0.7396156670015976,0.0003415464001967905,True
c08_twohot_d2_logit_max200k_K128,val,auroc,0.7699515223503113,0.7699508996076847,6.22742626577022e-07,True
c08_twohot_d2_logit_max200k_K128,val,balanced_accuracy,0.707577645778656,0.7075776355857206,1.019293538462307e-08,True
c08_twohot_d2_logit_max200k_K128,val,f1,0.6827685598297653,0.6827685652487383,5.418973048065823e-09,True
c08_twohot_d2_logit_max200k_K128,val,pearson,0.5462501049041748,0.5462500054473834,9.945679135814345e-08,True
c08_twohot_d2_logit_max200k_K128,val,precision,0.7185128927230835,0.7185128983308042,5.607720732214716e-09,True
c08_twohot_d2_logit_max200k_K128,val,recall,0.6504120826721191,0.6504120879120879,5.239968792203342e-09,True
c08_twohot_d2_logit_max200k_K128,val,rmse_log10,1.2463661432266235,1.2463661571544837,1.3927860198492681e-08,True
c08_twohot_d2_logit_max200k_K128,val,spearman,0.5502620935440063,0.5502308313477038,3.126219630256166e-05,True
c09_hlgauss_d2_logit_max50k_K64_s0.75,test,accuracy,0.6956084370613098,0.6956084478712705,1.0809960704349919e-08,True
c09_hlgauss_d2_logit_max50k_K64_s0.75,test,auprc,0.744844377040863,0.744894175931941,4.979889107792346e-05,True
c09_hlgauss_d2_logit_max50k_K64_s0.75,test,auroc,0.7592290639877319,0.7592294738660161,4.0987828420213646e-07,True
