split,policy,seed,scope,n_all,all_rmse,all_mae,all_n,all_spearman,all_pearson,n_exact,exact_rmse,exact_mae,exact_n,exact_spearman,exact_pearson,n_threshold_500nm,threshold_500nm_accuracy,threshold_500nm_balanced_accuracy,threshold_500nm_precision,threshold_500nm_recall,threshold_500nm_f1,threshold_500nm_auroc,threshold_500nm_auprc
test,mask_unresolved,42,within_gene_canonical,20,1.2273663193229036,0.8204555228352547,20.0,0.7281037907595486,0.7144938781976193,14,1.0753677653380511,0.7636015351329531,14.0,0.693789296895279,0.6711858423290963,20,0.8,0.8,0.75,0.9,0.8181818181818182,0.92,0.923531746031746
test,mask_unresolved,42,cross_gene_unresolved,36,0.9403126196220399,0.6854709991150432,36.0,0.7110137985662158,0.7124737368057719,28,0.7795040884251858,0.5956348957759994,28.0,0.7425636495607932,0.7288123634800824,36,0.7222222222222222,0.725,0.7777777777777778,0.7,0.7368421052631577,0.871875,0.8805355661691475
test,mask_unresolved,42,within_gene_unresolved,1,0.14319992065429688,0.14319992065429688,1.0,,,0,,,,,,1,1.0,0.5,0.0,0.0,0.0,,
test,mask_unresolved,42,unresolved_union,37,0.9278173724015174,0.6708150240215095,37.0,0.7222781785375624,0.7237295261572164,28,0.7795040884251858,0.5956348957759994,28.0,0.7425636495607932,0.7288123634800824,37,0.7297297297297297,0.7323529411764705,0.7777777777777778,0.7,0.7368421052631577,0.8794117647058823,0.8805355661691475
test,mask_unresolved,42,unmapped,627,0.9730114300206683,0.7033135441133375,627.0,0.7772829843253782,0.7889289343375333,455,1.0837675720088011,0.8422526289882896,455.0,0.6683377785455561,0.6888186742825175,627,0.8500797448165869,0.8525312564050009,0.8083067092651757,0.8815331010452961,0.8433333333333334,0.9224328755892601,0.8908871385111341
val,mask_unresolved,43,overall,1698,0.9366459142784271,0.6910577808847943,1698.0,0.7793307387362308,0.7946379996130504,1391,0.9747796880415217,0.7434802548966547,1391.0,0.7646957861303888,0.7617180487088476,1698,0.8710247349823321,0.8721707204352,0.8213333333333334,0.8787446504992867,0.8490696071674707,0.9242205933063098,0.8720244833281539
val,mask_unresolved,43,single,737,0.8327002801405841,0.6421768136949277,737.0,0.7975638459585765,0.8080887529288481,675,0.8488723575582912,0.6509052745225253,675.0,0.783160486487399,0.7919473072312008,737,0.8738127544097694,0.8607186858316221,0.8102766798418972,0.82,0.8151093439363816,0.9216960985626284,0.861673554649765
val,mask_unresolved,43,flanks_agree,272,1.1464614661251495,0.8759286884245846,272.0,0.684205796375574,0.7292904142754064,234,1.1542762958045991,0.9048486528520145,234.0,0.614033309528398,0.6565305379062344,272,0.8602941176470589,0.8480336440100023,0.872093023255814,0.9036144578313253,0.8875739644970415,0.8680950215958172,0.8520774759786536
val,mask_unresolved,43,within_gene_canonical,14,1.2159983890748027,0.8857285210064479,14.0,0.5476718403547672,0.5454119221029053,12,0.9178150899334957,0.7191496789455414,12.0,0.5035460992907801,0.5649813167681429,14,0.7857142857142857,0.75,0.7272727272727273,1.0,0.8421052631578948,0.8541666666666666,0.9068813131313131
val,mask_unresolved,43,cross_gene_unresolved,65,0.6170426856485586,0.5192917140630575,65.0,0.8598225456083869,0.9272369951204344,36,0.7280514664681565,0.5872073132130835,36.0,0.8381235808939743,0.8531796657643791,65,0.9538461538461539,0.9534632034632035,0.9090909090909091,0.9523809523809523,0.9302325581395349,0.9956709956709957,0.99121068717342
