split,seed,scope,metric,legacy,masked,delta_masked_minus_legacy
val,42,unmapped,threshold_500nm_accuracy,0.873581847649919,0.8833063209076175,0.00972447325769854
val,42,unmapped,threshold_500nm_balanced_accuracy,0.879411449399657,0.8865351629502574,0.007123713550600375
val,42,unmapped,threshold_500nm_precision,0.8106312292358804,0.8339100346020761,0.023278805366195754
val,42,unmapped,threshold_500nm_recall,0.9207547169811321,0.909433962264151,-0.01132075471698113
val,42,unmapped,threshold_500nm_f1,0.8621908127208481,0.8700361010830324,0.007845288362184344
val,42,unmapped,threshold_500nm_auroc,0.9432675814751287,0.9363743567753001,-0.0068932246998285596
val,42,unmapped,threshold_500nm_auprc,0.9139734090864942,0.8966285936513013,-0.01734481543519284
val,43,overall,all_spearman,0.7855574810430871,0.7793307387362308,-0.00622674230685627
val,43,overall,all_pearson,0.7996316662572188,0.7946379996130504,-0.0049936666441684485
val,43,overall,all_rmse,0.9217605584536406,0.9366459142784271,0.014885355824786561
val,43,overall,exact_spearman,0.7681405200089871,0.7646957861303888,-0.0034447338785983384
val,43,overall,exact_pearson,0.7648186578808822,0.7617180487088476,-0.003100609172034585
val,43,overall,exact_rmse,0.9705020618098381,0.9747796880415217,0.004277626231683596
val,43,overall,threshold_500nm_accuracy,0.8698468786808009,0.8710247349823321,0.0011778563015312216
val,43,overall,threshold_500nm_balanced_accuracy,0.8679912776846945,0.8721707204352,0.004179442750505524
val,43,overall,threshold_500nm_precision,0.832409972299169,0.8213333333333334,-0.011076638965835661
val,43,overall,threshold_500nm_recall,0.8573466476462197,0.8787446504992867,0.021398002853067033
val,43,overall,threshold_500nm_f1,0.8446943078004215,0.8490696071674707,0.004375299367049168
val,43,overall,threshold_500nm_auroc,0.9280766693804666,0.9242205933063098,-0.0038560760741568334
val,43,overall,threshold_500nm_auprc,0.8840121003877631,0.8720244833281539,-0.011987617059609268
val,43,single,all_spearman,0.8022438326238072,0.7975638459585765,-0.004679986665230618
val,43,single,all_pearson,0.8120771572592237,0.8080887529288481,-0.003988404330375617
val,43,single,all_rmse,0.820327337835539,0.8327002801405841,0.012372942305045043
val,43,single,exact_spearman,0.7891407205554154,0.783160486487399,-0.005980234068016399
val,43,single,exact_pearson,0.7965776696028045,0.7919473072312008,-0.004630362371603747
val,43,single,exact_rmse,0.8396127500661301,0.8488723575582912,0.009259607492161037
val,43,single,threshold_500nm_accuracy,0.8656716417910447,0.8738127544097694,0.008141112618724633
val,43,single,threshold_500nm_balanced_accuracy,0.8496919917864476,0.8607186858316221,0.011026694045174534
val,43,single,threshold_500nm_precision,0.8032128514056225,0.8102766798418972,0.007063828436274733
val,43,single,threshold_500nm_recall,0.8,0.82,0.019999999999999907
val,43,single,threshold_500nm_f1,0.8016032064128257,0.8151093439363816,0.013506137523555894
val,43,single,threshold_500nm_auroc,0.9290718685831623,0.9216960985626284,-0.007375770020533912
val,43,single,threshold_500nm_auprc,0.8733025466624811,0.861673554649765,-0.011628992012716055
val,43,flanks_agree,all_spearman,0.6940816066607053,0.684205796375574,-0.009875810285131292
val,43,flanks_agree,all_pearson,0.7261036651570035,0.7292904142754064,0.0031867491184028873
val,43,flanks_agree,all_rmse,1.1640092634765693,1.1464614661251495,-0.01754779735141976
val,43,flanks_agree,exact_spearman,0.6237819999735781,0.614033309528398,-0.00974869044518012
val,43,flanks_agree,exact_pearson,0.6560912428977747,0.6565305379062344,0.0004392950084597391
val,43,flanks_agree,exact_rmse,1.1825206429586383,1.1542762958045991,-0.02824434715403923
val,43,flanks_agree,threshold_500nm_accuracy,0.8455882352941176,0.8602941176470589,0.014705882352941235
val,43,flanks_agree,threshold_500nm_balanced_accuracy,0.8428051829961355,0.8480336440100023,0.005228461013866759
val,43,flanks_agree,threshold_500nm_precision,0.8875,0.872093023255814,-0.015406976744186007
val,43,flanks_agree,threshold_500nm_recall,0.8554216867469879,0.9036144578313253,0.048192771084337394
val,43,flanks_agree,threshold_500nm_f1,0.8711656441717791,0.8875739644970415,0.016408320325262404
val,43,flanks_agree,threshold_500nm_auroc,0.8728688338258696,0.8680950215958172,-0.0047738122300523544
val,43,flanks_agree,threshold_500nm_auprc,0.8918435967345781,0.8520774759786536,-0.03976612075592456
val,43,within_gene_canonical,all_spearman,0.7605321507760532,0.5476718403547672,-0.21286031042128595
val,43,within_gene_canonical,all_pearson,0.7196570893824634,0.5454119221029053,-0.17424516727955808
val,43,within_gene_canonical,all_rmse,0.9678738230116987,1.2159983890748027,0.24812456606310407
val,43,within_gene_canonical,exact_spearman,0.75177304964539,0.5035460992907801,-0.24822695035460995
val,43,within_gene_canonical,exact_pearson,0.7225311564154825,0.5649813167681429,-0.1575498396473396
val,43,within_gene_canonical,exact_rmse,0.7516392971496673,0.9178150899334957,0.16617579278382844
val,43,within_gene_canonical,threshold_500nm_accuracy,0.7857142857142857,0.7857142857142857,0.0
val,43,within_gene_canonical,threshold_500nm_balanced_accuracy,0.75,0.75,0.0
val,43,within_gene_canonical,threshold_500nm_precision,0.7272727272727273,0.7272727272727273,0.0
val,43,within_gene_canonical,threshold_500nm_recall,1.0,1.0,0.0
val,43,within_gene_canonical,threshold_500nm_f1,0.8421052631578948,0.8421052631578948,0.0
val,43,within_gene_canonical,threshold_500nm_auroc,0.875,0.8541666666666666,-0.02083333333333337
val,43,within_gene_canonical,threshold_500nm_auprc,0.928409090909091,0.9068813131313131,-0.021527777777777812
val,43,cross_gene_unresolved,all_spearman,0.8296701082425119,0.8598225456083869,0.03015243736587503
val,43,cross_gene_unresolved,all_pearson,0.9356187870829118,0.9272369951204344,-0.008381791962477347
val,43,cross_gene_unresolved,all_rmse,0.5835719316906218,0.6170426856485586,0.03347075395793675
val,43,cross_gene_unresolved,exact_spearman,0.8296173289580981,0.8381235808939743,0.008506251935876175
val,43,cross_gene_unresolved,exact_pearson,0.8745239629225522,0.8531796657643791,-0.021344297158173098
val,43,cross_gene_unresolved,exact_rmse,0.6773635117536525,0.7280514664681565,0.05068795471450405
val,43,cross_gene_unresolved,threshold_500nm_accuracy,0.9846153846153847,0.9538461538461539,-0.03076923076923077
val,43,cross_gene_unresolved,threshold_500nm_balanced_accuracy,0.9886363636363636,0.9534632034632035,-0.03517316017316019
val,43,cross_gene_unresolved,threshold_500nm_precision,0.9545454545454546,0.9090909090909091,-0.045454545454545525
val,43,cross_gene_unresolved,threshold_500nm_recall,1.0,0.9523809523809523,-0.04761904761904767
val,43,cross_gene_unresolved,threshold_500nm_f1,0.9767441860465117,0.9302325581395349,-0.04651162790697683
val,43,cross_gene_unresolved,threshold_500nm_auroc,0.9989177489177489,0.9956709956709957,-0.0032467532467531646
val,43,cross_gene_unresolved,threshold_500nm_auprc,0.9978354978354977,0.99121068717342,-0.0066248106620777625
val,43,within_gene_unresolved,all_spearman,0.6037034299432968,0.6037034299432968,0.0
val,43,within_gene_unresolved,all_pearson,0.9686021135665352,0.9311272887453611,-0.037474824821174146
val,43,within_gene_unresolved,all_rmse,1.1152477974686454,1.195242749155649,0.07999495168700355
val,43,within_gene_unresolved,exact_spearman,0.39821643528494194,0.39821643528494194,0.0
val,43,within_gene_unresolved,exact_pearson,0.29838289528462336,0.35118612002106286,0.0528032247364395
val,43,within_gene_unresolved,exact_rmse,1.191755810832819,1.2772595753390348,0.08550376450621577
val,43,within_gene_unresolved,threshold_500nm_accuracy,1.0,1.0,0.0
val,43,within_gene_unresolved,threshold_500nm_balanced_accuracy,1.0,1.0,0.0
val,43,within_gene_unresolved,threshold_500nm_precision,1.0,1.0,0.0
val,43,within_gene_unresolved,threshold_500nm_recall,1.0,1.0,0.0
val,43,within_gene_unresolved,threshold_500nm_f1,1.0,1.0,0.0
val,43,within_gene_unresolved,threshold_500nm_auroc,1.0,1.0,0.0
val,43,within_gene_unresolved,threshold_500nm_auprc,1.0,1.0,0.0
