split,scope,metric,mean_delta_masked_minus_legacy,std_delta,min_delta,max_delta,n_seeds
test,within_gene_canonical,all_spearman,0.08271458841836088,0.0853600879341117,-0.0015232296877815132,0.1691543403408613,3
test,within_gene_canonical,all_pearson,0.03649268965524614,0.07320863650977617,-0.02604261963692278,0.11701991980112669,3
test,within_gene_canonical,all_rmse,-0.06852695581773265,0.13923415868770364,-0.2226301253391797,0.04821481416623907,3
test,within_gene_canonical,exact_spearman,0.2249934227931388,0.23907033980783998,0.004519799979773809,0.4790987978560233,3
test,within_gene_canonical,exact_pearson,0.0695814946192496,0.10021858109673214,-0.008028115022724047,0.18272555801508117,3
test,within_gene_canonical,exact_rmse,-0.10895411021614247,0.15916687131255716,-0.2888955229767419,0.013418893979556312,3
test,within_gene_canonical,threshold_500nm_accuracy,0.005555555555555536,0.058531409738070785,-0.050000000000000044,0.06666666666666665,3
test,within_gene_canonical,threshold_500nm_balanced_accuracy,0.0033670033670033885,0.05058915555998895,-0.045454545454545414,0.05555555555555558,3
test,within_gene_canonical,threshold_500nm_precision,0.055555555555555546,0.0962250448649376,0.0,0.16666666666666663,3
test,within_gene_canonical,threshold_500nm_recall,-0.030303030303030314,0.05248638810814781,-0.09090909090909094,0.0,3
test,within_gene_canonical,threshold_500nm_f1,0.00937950937950934,0.0622208099923532,-0.04761904761904767,0.07575757575757569,3
test,within_gene_canonical,threshold_500nm_auroc,0.0380246913580247,0.037076522162362395,0.0,0.07407407407407407,3
test,within_gene_canonical,threshold_500nm_auprc,0.06528018278018281,0.08273973903330772,0.0,0.15833333333333355,3
test,cross_gene_unresolved,all_spearman,0.011305114070318681,0.03732067986404958,-0.010880881595839331,0.054392944966578205,3
test,cross_gene_unresolved,all_pearson,0.00025771855755215195,0.03426809114379887,-0.02773908823020388,0.0384725663210419,3
test,cross_gene_unresolved,all_rmse,-0.0439979955217612,0.12085864449088154,-0.17987954567948672,0.05149210247479652,3
test,cross_gene_unresolved,exact_spearman,-0.0004220309626025154,0.06314040100807009,-0.037831225674562985,0.07247780929081171,3
test,cross_gene_unresolved,exact_pearson,-0.015854000908786563,0.0528110894625013,-0.06404028192982081,0.04060537063405423,3
test,cross_gene_unresolved,exact_rmse,-0.020050907376098197,0.1494729118165828,-0.19182617142736547,0.08040021880499093,3
test,cross_gene_unresolved,threshold_500nm_accuracy,-0.014550264550264572,0.013936049937635907,-0.02777777777777779,0.0,3
test,cross_gene_unresolved,threshold_500nm_balanced_accuracy,-0.014583333333333318,0.0157288217401474,-0.03125,0.0,3
test,cross_gene_unresolved,threshold_500nm_precision,-0.029680559092323772,0.025733568509136853,-0.04575163398692805,0.0,3
test,cross_gene_unresolved,threshold_500nm_recall,0.0,0.0,0.0,0.0,3
test,cross_gene_unresolved,threshold_500nm_f1,-0.013372223898539648,0.011581576930114097,-0.02020202020202,0.0,3
test,cross_gene_unresolved,threshold_500nm_auroc,-0.012318840579710185,0.010995645583690941,-0.025000000000000022,-0.005434782608695676,3
test,cross_gene_unresolved,threshold_500nm_auprc,-0.01053477359327822,0.009632262062719088,-0.019802308899428356,-0.0005751196799791414,3
test,within_gene_unresolved,all_spearman,0.0,0.0,0.0,0.0,2
test,within_gene_unresolved,all_pearson,-0.007536641844340108,0.010658421111014359,-0.015073283688680217,0.0,2
test,within_gene_unresolved,all_rmse,0.09237203970552277,0.09900301484555489,-0.011583328247070312,0.1855390190616859,3
test,within_gene_unresolved,exact_spearman,0.0,0.0,0.0,0.0,2
test,within_gene_unresolved,exact_pearson,-0.24228352195256353,0.34264064268483485,-0.48456704390512706,0.0,2
test,within_gene_unresolved,exact_rmse,0.15929670156776854,0.03711224130799867,0.13305438407385117,0.1855390190616859,2
test,within_gene_unresolved,threshold_500nm_accuracy,0.0,0.0,0.0,0.0,3
test,within_gene_unresolved,threshold_500nm_balanced_accuracy,0.0,0.0,0.0,0.0,3
test,within_gene_unresolved,threshold_500nm_precision,0.0,0.0,0.0,0.0,3
test,within_gene_unresolved,threshold_500nm_recall,0.0,0.0,0.0,0.0,3
test,within_gene_unresolved,threshold_500nm_f1,0.0,0.0,0.0,0.0,3
test,within_gene_unresolved,threshold_500nm_auroc,0.0,0.0,0.0,0.0,1
test,within_gene_unresolved,threshold_500nm_auprc,0.0,0.0,0.0,0.0,1
test,unresolved_union,all_spearman,0.008807135199531876,0.030084637210597738,-0.013501130279786833,0.043022954013098746,3
test,unresolved_union,all_pearson,-0.008332613793971618,0.026952553381757893,-0.034644085439393235,0.019218259356518996,3
test,unresolved_union,all_rmse,-0.013633894904017785,0.08365954498197778,-0.10185524865256357,0.06455997465627006,3
test,unresolved_union,exact_spearman,-0.0061060587841542295,0.0707863574173074,-0.05711468019092736,0.07470918034252094,3
test,unresolved_union,exact_pearson,-0.027417141290281537,0.04946611375208806,-0.07844615237631902,0.02032181993606752,3
test,unresolved_union,exact_rmse,0.011176964831013566,0.10966558520039678,-0.11289403898211237,0.09515170298107312,3
test,unresolved_union,threshold_500nm_accuracy,-0.013984133387118495,0.013538075811436755,-0.027027027027027084,0.0,3
test,unresolved_union,threshold_500nm_balanced_accuracy,-0.013970588235294143,0.014760926396974067,-0.02941176470588236,0.0,3
test,unresolved_union,threshold_500nm_precision,-0.02755823697000163,0.02427093268971122,-0.04575163398692805,0.0,3
test,unresolved_union,threshold_500nm_recall,0.0,0.0,0.0,0.0,3
test,unresolved_union,threshold_500nm_f1,-0.012443732404010458,0.010848732194267909,-0.019914651493598945,0.0,3
