design_id,family,description,app_id,run_id,status,failure,epochs_expected,epochs_observed,setup_wall_s,param_count,train_rows,val_rows,best_val_loss,best_epoch,last_val_loss,last_epoch_wall_s,sll_a02,sll_a24,flr_a02,flr_a24,nfl_a02,nfl_a24
PP06,presto,"Positional P06 mlp(concat(start,end,frac))",ap-jNfBInKGm3gL9RziCSATOl,broad-frontier-r4-pp06-20260312a,completed,,5,5,61.786507373,5154788,32855,8194,1.7553978032535977,4,1.8409676634603076,110.84173386600003,19.302170426429083,1785.4065255796968,15.492369123358868,284.40988260280926,47.67606253003361,3654.8960740322177
PP07,presto,Positional P07 triple_baseline,ap-gHNM2nQKdCGqxz3fV8Y317,broad-frontier-r4-pp07-20260312a,completed,,5,5,77.799948311,5154788,32855,8194,1.7386328936726958,5,1.7386328936726958,113.05340634899994,52.05013288078814,22169.580964785375,62.90978689600755,1608.4366881349324,4746.984652557375,207.85054576943108
PG00,groove,Positional G00 start_only,ap-4HLLtuL7t3j4fuhPW6xQZe,broad-frontier-r4-pg00-20260312a,completed,,5,5,,625793,32855,8194,0.8124803483034625,4,0.8674150876926653,,44.95723637759568,18203.552666721775,92.68176282974042,1058.7016689745906,2817.9268438157355,22.04887379727339
PG01,groove,Positional G01 end_only,ap-D2UaLtYqNMTA8MxLzIs8Lc,broad-frontier-r4-pg01-20260312a,completed,,5,5,,625793,32855,8194,0.8974374880393347,5,0.8974374880393347,,13.798678736408208,29645.034596738,16.865122796524684,9999.648659569824,4551.39693223415,28.697481231162268
PG02,groove,Positional G02 start_plus_end,ap-xlpt8T8sY4JKfDHszx1Mob,broad-frontier-r4-pg02-20260312a,completed,,5,5,,625793,32855,8194,0.8392686938697641,4,0.8807566102707025,,91.75254355586827,17419.223268536927,66.05711255587195,436.4744822561896,8141.458782821595,30.629978252976656
PG03,groove,"Positional G03 concat(start,end)",ap-FEtdEeTB8dI5yc5Bl0u1aq,broad-frontier-r4-pg03-20260312a,completed,,5,5,,625793,32855,8194,0.8047052612810424,5,0.8047052612810424,,44.522921141739005,23989.310044112004,6.65508329983619,2310.660565791882,737.3074149433234,5.956786248617998
PG04,groove,"Positional G04 concat(start,end,frac)",ap-E0KCSWfeKDpThdu25eM1Zd,broad-frontier-r4-pg04-20260312a,completed,,5,5,,625793,32855,8194,0.808429836323767,4,0.8282346287460038,,17.30165525112134,23913.80909524045,89.71230406516098,5505.473273233405,6610.18048812789,13.131447366549965
PG05,groove,"Positional G05 mlp(concat(start,end))",ap-4RZPk25GnT2KgNmijFYDkw,broad-frontier-r4-pg05-20260312a,completed,,5,5,,625793,32855,8194,0.815586226456093,4,0.8328647207130085,,49.732304507064065,6083.980224339552,5.809502420607604,1619.002759971862,4065.7987662570313,13.551461675169493
PG06,groove,"Positional G06 mlp(concat(start,end,frac))",ap-NnQPwrfVpGoc3ixNhUVONL,broad-frontier-r4-pg06-20260312a,completed,,5,5,,625793,32855,8194,0.7831079986962405,4,0.7969293138294509,,30.69466734551205,33669.96465764989,9.101727940265809,921.637276502836,6457.991305420699,75.68290659170677
PG07,groove,Positional G07 triple_baseline,ap-CHHQfE04FaQHD17FOzyyJk,broad-frontier-r4-pg07-20260312a,completed,,5,5,,625793,32855,8194,0.8000188740816984,5,0.8000188740816984,,30.983321094386735,31225.4526917243,9.536943677789989,1372.3217300784452,2931.920017935103,7.007935800090466
A00,presto,Assay A00 pooled_single_output merged_kd,ap-LmmQbOiZj5Gi21Xxvq45GD,broad-frontier-r4-a00-20260312a,completed,,5,5,56.288246731,5129633,32855,8194,2.8662023076904006,4,2.9813236769685454,84.34649708200004,1519.0996566053018,1519.101324514039,1518.9645620791232,1518.9645620791232,1519.1830542855441,1519.188058291952
A01,presto,Assay A01 pooled_single_output split_kd_proxy,ap-mk3IorGPx9dmAIVJD0sz84,broad-frontier-r4-a01-20260312a,completed,,5,5,66.060426533,5129633,32855,8194,1.0488027606980275,4,1.1384621590881023,131.17999282100004,61.45588680710616,1007.3143169940452,9.94006165376037,861.4598150410526,5221.856535541425,3452.958180198848
A02,presto,Assay A02 shared_base_segment_residual merged_kd,ap-BLJh8wzsjVwDdO7RgFUWFB,broad-frontier-r4-a02-20260312a,completed,,5,5,52.862108762,5154788,32855,8194,1.146338184122686,5,1.146338184122686,85.68163616200002,56.53115577733072,6368.778834342901,86.03680543759246,622.4115379842525,20259.766054048825,1187.990937070144
A03,presto,Assay A03 shared_base_segment_residual split_kd_proxy,ap-BrIARqZ6FECZ7fqHbD2vCW,broad-frontier-r4-a03-20260312a,completed,,5,5,67.92953627,5171558,32855,8194,0.8177061353699636,5,0.8177061353699636,116.88598055699993,50.77897692257928,24795.068399413423,31.39279518339504,424.22511720517855,7026.129749861145,49.68940428636512
A04,presto,Assay A04 factorized_context merged_kd,ap-YpJntrOyulC6wWtZV8w49Z,broad-frontier-r4-a04-20260312a,completed,,5,5,50.143801511,5154788,32855,8194,2.1623258919075683,4,2.208397457169162,85.67519650399998,754.723837022293,754.7230083675734,754.7221797137637,754.7221797137637,754.7250800060782,754.7250800060782
A05,presto,Assay A05 factorized_context split_kd_proxy,ap-m36SCJQtTFZ45wJLltNNLJ,broad-frontier-r4-a05-20260312a,completed,,5,5,48.319117156000004,5171558,32855,8194,1.1343242985717321,5,1.1343242985717321,86.93820706999998,193.4793784748387,324.1791676483771,287.3145187362499,255.27409227721208,643.2187108329741,431.18517473737415
